thumb,index,middle,ring,pinkie,accx1,accy1,accz1,gx1,gy1,gz1,accx2,accy2,accz2,gx2,gy2,gz2,anillo,label
377.0,233.0,274.0,281.0,246.0,16572.0,-160.0,3536.0,-492.0,-114.0,10.0,-13340.0,1712.0,7876.0,-53.0,77.0,-88.0,1.0,A
377.0,233.0,274.0,282.0,247.0,16636.0,-204.0,3564.0,-267.0,125.0,3.0,-13276.0,1656.0,7720.0,-70.0,160.0,30.0,1.0,A
377.0,233.0,274.0,281.0,247.0,16616.0,-188.0,3504.0,-413.0,-11.0,-18.0,-13364.0,1776.0,7804.0,53.0,153.0,-289.0,1.0,A
377.0,234.0,275.0,282.0,247.0,16504.0,-40.0,3760.0,-330.0,96.0,-151.0,-13368.0,1568.0,7752.0,-160.0,163.0,90.0,1.0,A
377.0,234.0,275.0,282.0,247.0,16464.0,-244.0,3840.0,-288.0,-96.0,38.0,-13464.0,1872.0,7764.0,-205.0,13.0,-170.0,1.0,A
377.0,234.0,275.0,282.0,247.0,16664.0,-196.0,3504.0,-222.0,-44.0,-52.0,-13300.0,1584.0,7800.0,-235.0,146.0,258.0,1.0,A
377.0,234.0,275.0,282.0,248.0,16548.0,-332.0,3972.0,-295.0,-237.0,4.0,-13420.0,1900.0,7732.0,-181.0,-43.0,-226.0,1.0,A
377.0,234.0,275.0,282.0,248.0,16388.0,76.0,3600.0,-330.0,-40.0,13.0,-13396.0,1892.0,8008.0,39.0,330.0,-287.0,1.0,A
377.0,235.0,276.0,282.0,248.0,16648.0,-236.0,3684.0,-270.0,-97.0,-39.0,-13564.0,1692.0,7656.0,-246.0,225.0,-87.0,1.0,A
377.0,235.0,276.0,283.0,248.0,16692.0,-128.0,3472.0,-385.0,39.0,-65.0,-13448.0,1616.0,7748.0,-152.0,80.0,-59.0,1.0,A
377.0,234.0,276.0,282.0,248.0,16584.0,-180.0,3632.0,-177.0,65.0,-50.0,-13412.0,1884.0,7592.0,-71.0,254.0,8.0,1.0,A
377.0,235.0,276.0,282.0,248.0,16484.0,-56.0,4084.0,-390.0,52.0,-65.0,-13512.0,1636.0,7564.0,-143.0,-188.0,-154.0,1.0,A
377.0,235.0,276.0,282.0,249.0,16648.0,-252.0,3684.0,-201.0,38.0,74.0,-13208.0,1880.0,7820.0,-232.0,201.0,178.0,1.0,A
377.0,235.0,276.0,282.0,248.0,16436.0,8.0,3904.0,-357.0,-24.0,65.0,-13404.0,1724.0,7708.0,-239.0,150.0,44.0,1.0,A
